  481     1  
  482     1  
  483     1  
  484     1  
  485     1  
  486     1  
  487     1  
  488     1  
  489     1  
  490     1  
  491     1  
  492     1  
  493     1  
  494     1  
  495     1  
  496     1  
  497     1  
  498     1  
  499     1  
  500     1  
  501     1  
  502     1  
  503     1  
  504     1  
  505     1  
  506     1  
  507     1  
  508     1  
  509     1  
  510     1  
  511     1  
  512     1  
   36     2  
   40     2  
   45     2  
   52     2  
   57     2  
   61     2  
   63     2  
   70     2  
   72     2  
   78     2  
   81     2  
   84     2  
   87     2  
   88     2  
   90     2  
   93     2  
  103     2  
  108     2  
  116     2  
  120     2  
  122     2  
  125     2  
  127     2  
  129     2  
  149     2  
  152     2  
  154     2  
  157     2  
  159     2  
  160     2  
  181     2  
  184     2  
  186     2  
  189     2  
  191     2  
  192     2  
  213     2  
  216     2  
  218     2  
  221     2  
  223     2  
  224     2  
  244     2  
  248     2  
  250     2  
  253     2  
  255     2  
  256     2  
  277     2  
  280     2  
  282     2  
  285     2  
  287     2  
  288     2  
  308     2  
  312     2  
  314     2  
  317     2  
  319     2  
  320     2  
  341     2  
  344     2  
  346     2  
  349     2  
  351     2  
  352     2  
  372     2  
  376     2  
  378     2  
  381     2  
  383     2  
  384     2  
  404     2  
  408     2  
  410     2  
  413     2  
  415     2  
  416     2  
  437     2  
  440     2  
  442     2  
  445     2  
  447     2  
  448     2  
  468     2  
  472     2  
  474     2  
  477     2  
  479     2  
  480     2  
  501     2  
  504     2  
  506     2  
  509     2  
  511     2  
  512     2  
